dataId,node1,node2,birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
303, 교육대학원 옆 횡단보도,바람개비동산쪽 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,8.0,0.010955503175332277,0.0
304, 바람개비동산쪽 횡단보도,가천고개 내려가는 길,2000,0,173.0,66.0,2,25.0,0.0,0.0,37.0,0.06245734140010508,-89.47375861244018
305, 가천고개 내려가는 길,가천고개 끝,2000,0,173.0,66.0,2,25.0,0.0,0.0,30.0,0.0479354735013592,-89.59610958413327
306, 가천고개 끝,가천고개 향하는 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,10.0,0.017697694546870483,0.0
307, 가천고개 향하는 횡단보도,가천관 내려가는 길,2000,0,173.0,66.0,2,25.0,0.0,0.0,8.0,0.012684071888020246,-89.63663297854822
308, 가천관 내려가는 길,가천관 더 내려가는 길,2000,0,173.0,66.0,2,25.0,0.0,0.0,13.0,0.017815353549611487,88.97936340080533
309, 가천관 더 내려가는 길,글로벌센터 가천관 분기점,2000,0,173.0,66.0,2,25.0,0.0,0.0,11.0,0.018671311587358085,-89.64340882020043
310, 글로벌센터 가천관 분기점,가천관 정문,2000,0,173.0,66.0,2,25.0,0.0,0.0,29.0,0.03978748300673224,0.0
311, 가천관 정문,가천관 길목,2000,0,173.0,66.0,2,25.0,0.0,0.0,29.0,0.04414220642988153,0.0
312, 가천관 길목,공과대학-가천관 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,21.0,0.025574579141661988,0.0
313, 공과대학-가천관 횡단보도,비전타워-바나연 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,84.0,0.12449744650924112,-89.3141502365394
314, 비전타워-바나연 횡단보도,비전타워-반도체대학동산 횡단보도,2000,0,173.0,66.0,2,25.0,0.0,0.0,19.0,0.027574394561825238,0.0
315, 비전타워-반도체대학동산 횡단보도,비전타워 쪽문,2000,0,173.0,66.0,2,25.0,0.0,0.0,21.0,0.03552115880212925,-85.93640219865576
316, 비전타워 쪽문,비전타워-가천대학교 코너,2000,0,173.0,66.0,2,25.0,0.0,0.0,12.0,0.018097596807894203,0.0
